일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2019-11-19,67100,67500,66200,66800,5721,382,,
2019-11-18,67400,67700,66300,67700,9536,637,,
2019-11-15,67100,68000,66500,67400,7032,475,,
2019-11-14,66100,67100,66000,67100,5527,367,,
2019-11-13,67600,67600,66200,66700,6104,406,,
2019-11-12,65000,68000,65000,67600,18753,1262,,
2019-11-11,65900,66200,64300,65000,5303,344,,
2019-11-08,66900,66900,65500,66200,8895,586,,
2019-11-07,66500,66900,65800,66900,7704,512,,
2019-11-06,66900,67200,65500,66500,11742,774,,
2019-11-05,64700,66800,64000,66800,18768,1230,,
2019-11-04,62400,64600,62400,64500,24806,1585,,
2019-11-01,60900,62300,60100,62100,16976,1043,,
2019-10-31,59900,61100,59900,60900,14454,873,,
2019-10-30,60400,61000,60100,60300,8427,508,,
2019-10-29,60500,61300,60400,61000,8600,524,,
2019-10-28,60700,60900,59600,60700,12668,769,,
2019-10-25,60200,60700,59700,60700,5722,345,,
2019-10-24,60100,60500,58800,60500,9073,539,,
2019-10-23,61000,61000,58900,59800,8486,504,,
2019-10-22,61000,61700,60300,60500,6851,417,,
2019-10-21,61200,61200,60300,61000,8771,532,,
2019-10-18,61200,61800,60000,61200,18421,1125,,
2019-10-17,61300,61300,60300,60900,6500,395,,
2019-10-16,60900,61300,60400,61300,7863,480,,
2019-10-15,60800,61000,59900,60800,12311,746,,
2019-10-14,59400,60800,59400,60800,14460,870,,
2019-10-11,58000,59200,57700,59200,9796,575,,
2019-10-10,58700,58700,57300,57700,9018,519,,
2019-10-08,56400,58600,56400,58500,11961,693,,
2019-10-07,56700,57700,56600,57300,10459,599,,
2019-10-04,59300,59300,56700,56700,25903,1496,,
2019-10-02,60300,61000,58400,59300,15671,927,,
2019-10-01,59200,61500,59200,61300,16144,982,,
2019-09-30,59800,60300,59200,60000,7029,419,,
2019-09-27,60700,60800,59600,60000,5727,344,,
2019-09-26,60300,60900,59900,60800,12373,747,,
2019-09-25,60500,61200,59800,60300,19400,1169,,
2019-09-24,60200,61100,60100,60800,13232,801,,
2019-09-23,59600,60500,59600,60200,9996,600,,
2019-09-20,60000,60600,59600,59600,18050,1081,,
2019-09-19,61100,61600,59900,60400,27465,1658,,
2019-09-18,59800,61800,59600,61400,42333,2586,,
2019-09-17,59100,59600,58400,59600,15415,910,,
2019-09-16,57300,59500,57300,59200,36697,2159,,
2019-09-11,56900,57900,56900,57300,23952,1373,,
2019-09-10,56200,57100,56200,56900,23658,1343,,
2019-09-09,56100,56900,56100,56500,19077,1076,,
2019-09-06,57000,57200,55800,56400,19068,1075,,
2019-09-05,56500,57900,56500,57100,25974,1488,,
2019-09-04,56200,56900,56000,56700,20227,1138,,
2019-09-03,55700,56600,55600,56100,16112,907,,
2019-09-02,55600,56700,55600,55900,21667,1216,,
2019-08-30,55900,56900,55300,56000,43353,2440,,
2019-08-29,54900,56000,54900,55100,24045,1333,,
2019-08-28,53800,55000,53800,54900,19888,1083,,
2019-08-27,54600,55400,53700,53700,29742,1615,,
2019-08-26,55000,55600,54400,54700,15880,873,,
2019-08-23,55900,56600,55300,56100,23459,1317,,
2019-08-22,55000,56700,55000,56400,27663,1549,,
2019-08-21,53800,56000,53200,55000,41778,2282,,
2019-08-20,53200,53800,52500,53800,37312,1990,,
2019-08-19,51700,54100,51400,52500,82918,4394,,
2019-08-16,51200,51800,50000,51100,63207,3229,,
2019-08-14,52400,52900,51900,51900,95402,4986,,
2019-08-13,52600,53200,51400,51800,163852,8522,,
2019-08-12,54400,56200,53000,53600,166709,9074,,
2019-08-09,60500,68900,53900,54600,324642,18921,,
