일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2019-12-05,12800,12950,12300,12750,66324,835,,
2019-12-04,12500,12900,12450,12800,19591,249,,
2019-12-03,12650,12800,12400,12700,21553,272,,
2019-12-02,13150,13250,12800,12800,24800,321,,
2019-11-29,13300,13400,12900,13150,20627,270,,
2019-11-28,13300,13450,13000,13350,49162,648,,
2019-11-27,13100,13650,12900,13600,46065,615,,
2019-11-26,12850,13150,12850,13000,29998,389,,
2019-11-25,12700,13100,12650,12950,22529,289,,
2019-11-22,12950,13150,12450,12750,40556,517,,
2019-11-21,13250,13550,12900,13000,33797,443,,
2019-11-20,13650,14200,13150,13450,111671,1523,,
2019-11-19,13850,14000,13350,13800,51470,699,,
2019-11-18,14000,14100,13800,13850,24778,344,,
2019-11-15,14000,14150,13800,14000,25739,359,,
2019-11-14,14400,14600,14050,14100,68684,981,,
2019-11-13,14250,14350,13850,14100,57230,803,,
2019-11-12,14400,14500,14100,14250,49140,702,,
2019-11-11,14300,14450,13850,14400,63792,901,,
2019-11-08,14600,14750,14150,14350,106700,1543,,
2019-11-07,14200,14650,14000,14500,131461,1893,,
2019-11-06,14100,14500,13950,14150,123803,1763,,
2019-11-05,14100,14200,13650,14100,193188,2684,,
2019-11-04,16600,17000,14050,14050,985618,14840,,
2019-11-01,13200,13750,13100,13550,74078,1025,,
2019-10-31,13100,13400,13100,13200,16748,222,,
2019-10-30,13200,13200,12900,13200,10905,142,,
2019-10-29,12900,13300,12900,13100,16792,220,,
2019-10-28,13000,13100,12850,12900,18767,243,,
2019-10-25,13250,13300,12750,12950,35271,457,,
2019-10-24,13750,13900,13100,13200,81422,1088,,
2019-10-23,12850,13750,12850,13750,147965,1993,,
2019-10-22,12950,13050,12650,12850,19947,257,,
2019-10-21,12700,12800,12600,12800,20787,264,,
2019-10-18,13150,13150,12550,12700,38804,500,,
2019-10-17,13150,13550,13000,13150,76040,1009,,
2019-10-16,13000,13250,12850,13150,64924,848,,
2019-10-15,13150,13250,12850,13000,53223,693,,
2019-10-14,13050,13500,12950,13100,83999,1107,,
2019-10-11,12500,13400,12400,12950,180450,2347,,
2019-10-10,12400,12700,12300,12400,42084,526,,
2019-10-08,12750,12950,12450,12500,45214,573,,
2019-10-07,12400,13100,12400,12800,66514,855,,
2019-10-04,12800,12900,12350,12400,37871,475,,
2019-10-02,12550,13100,12400,12900,43680,560,,
2019-10-01,12200,12600,12150,12550,47053,585,,
2019-09-30,12150,12450,12050,12200,28435,349,,
2019-09-27,12050,12200,11950,12050,12551,151,,
2019-09-26,12200,12400,12100,12250,18458,226,,
2019-09-25,12400,12500,11850,12200,17492,212,,
2019-09-24,12150,12550,12150,12500,18250,225,,
2019-09-23,12500,12500,12250,12400,18512,229,,
2019-09-20,12700,12700,12450,12600,10570,133,,
2019-09-19,12750,12750,12350,12600,13564,170,,
2019-09-18,12800,12800,12500,12650,24386,308,,
2019-09-17,12350,12900,12350,12750,35305,449,,
2019-09-16,12350,12450,12200,12400,17877,221,,
2019-09-11,11900,12400,11900,12350,26046,318,,
2019-09-10,12050,12200,11800,11900,17925,214,,
2019-09-09,12200,12450,12000,12000,16236,197,,
2019-09-06,12300,12450,12050,12250,17242,211,,
2019-09-05,12400,12750,12250,12250,32014,398,,
2019-09-04,12350,12500,12250,12400,26488,327,,
2019-09-03,12250,12550,12150,12400,32994,409,,
2019-09-02,12150,12300,12050,12250,10226,124,,
2019-08-30,12000,12200,12000,12150,25165,304,,
2019-08-29,12100,12150,11800,11950,16004,191,,
2019-08-28,11300,12100,11300,12050,32399,381,,
2019-08-27,11400,11700,11400,11400,12866,149,,
2019-08-26,11950,12050,11250,11300,77157,892,,
2019-08-23,12250,12400,12000,12150,31308,382,,
2019-08-22,12550,12700,12300,12400,30133,375,,
2019-08-21,12100,12550,11950,12550,59144,724,,
2019-08-20,11750,12100,11750,12050,16958,202,,
2019-08-19,12050,12200,11750,11750,13894,166,,
2019-08-16,11900,12050,11500,12000,56506,662,,
2019-08-14,12700,12700,12000,12050,40320,493,,
2019-08-13,12150,12700,12000,12400,31597,389,,
2019-08-12,11800,12400,11700,12300,38661,468,,
2019-08-09,11650,11900,11500,11900,45007,524,,
2019-08-08,11100,11700,11100,11600,60023,687,,
2019-08-07,10600,11300,10600,11150,94493,1028,,
2019-08-06,10650,11700,10550,10700,95502,1055,,
2019-08-05,12900,13000,11300,11350,111253,1312,,
2019-08-02,12700,12950,12250,12850,53069,667,,
2019-08-01,13400,13650,12750,12850,57975,768,,
2019-07-31,12700,13150,12300,12900,53633,682,,
2019-07-30,12500,13350,12500,12750,66639,859,,
2019-07-29,13500,13550,12500,12950,99305,1271,,
2019-07-26,13600,13900,13350,13600,43131,583,,
2019-07-25,14250,14350,13750,13800,42435,593,,
2019-07-24,14500,14850,14000,14400,30246,436,,
2019-07-23,15300,15300,14550,14700,52417,776,,
2019-07-22,14550,14950,14300,14950,41742,620,,
2019-07-19,14000,14900,14000,14500,39352,570,,
2019-07-18,14400,14550,14000,14000,64143,906,,
2019-07-17,15200,15200,14300,14550,48626,707,,
2019-07-16,15500,15550,15000,15150,46661,713,,
2019-07-15,15300,15450,15100,15350,39452,608,,
2019-07-12,15200,15300,14900,15250,24738,373,,
2019-07-11,14600,15100,14500,15050,29799,439,,
2019-07-10,14600,14850,14450,14600,36450,533,,
2019-07-09,14800,15150,14100,14700,78515,1140,,
2019-07-08,15000,15800,14750,14950,73302,1116,,
2019-07-05,14550,15000,14450,14900,51980,766,,
2019-07-04,15450,15700,14450,14500,124639,1850,,
2019-07-03,16100,16250,15500,15700,50761,796,,
2019-07-02,16400,16400,15700,16200,39323,633,,
2019-07-01,16600,16600,15950,16200,35303,571,,
2019-06-28,15800,16600,15800,16200,60252,978,,
2019-06-27,16150,16650,15700,15950,64653,1035,,
2019-06-26,15700,16950,15550,16200,130739,2144,,
2019-06-25,16600,16650,15500,15750,88048,1396,,
2019-06-24,16750,16800,16150,16550,27702,454,,
2019-06-21,16750,16900,16450,16450,28505,475,,
2019-06-20,17250,17250,16700,16750,58969,996,,
2019-06-19,17000,17150,16700,17000,46773,791,,
2019-06-18,17250,17350,16450,16950,70972,1194,,
2019-06-17,16850,17300,16600,17200,79299,1347,,
2019-06-14,17400,17750,16650,17000,165405,2827,,
2019-06-13,17850,18100,17100,17400,143259,2501,,
2019-06-12,19850,19850,17800,17850,256825,4720,,
2019-06-11,19750,20300,19450,19450,105046,2080,,
2019-06-10,19600,20050,19300,19550,123034,2420,,
2019-06-07,18100,19900,18000,19700,311259,5955,,
2019-06-05,18350,18450,17800,18050,89093,1610,,
2019-06-04,17450,18150,17100,18100,120283,2134,,
2019-06-03,16900,17400,16850,17250,36441,625,,
2019-05-31,17200,17550,17000,17250,53126,917,,
2019-05-30,17400,17750,17150,17200,71004,1232,,
2019-05-29,17800,17900,17150,17550,95253,1671,,
2019-05-28,17700,17900,17300,17800,78050,1376,,
2019-05-27,17150,17950,16900,17350,128457,2250,,
2019-05-24,17150,17550,16650,17150,80725,1381,,
2019-05-23,17800,18000,17000,17450,176117,3080,,
2019-05-22,16850,17800,16550,17100,170242,2923,,
2019-05-21,17300,18150,17000,17050,212667,3707,,
2019-05-20,16900,17750,16500,17250,304169,5186,,
2019-05-17,15050,17700,15050,17300,973800,16245,,
2019-05-16,15100,15250,14650,15000,75979,1131,,
2019-05-15,15250,15450,15050,15250,40172,610,,
2019-05-14,14900,15350,14500,15150,60689,907,,
2019-05-13,15050,15550,15050,15100,36862,563,,
2019-05-10,15400,15600,14600,15450,76033,1143,,
2019-05-09,15900,16100,15200,15400,112136,1743,,
2019-05-08,16150,16300,15850,16100,40883,657,,
2019-05-07,15950,16750,15950,16200,95122,1558,,
2019-05-03,16100,16450,16000,16150,49937,809,,
2019-05-02,15800,16500,15750,16100,81609,1318,,
2019-04-30,15750,15900,15600,15800,36767,578,,
2019-04-29,15500,16250,15500,15850,46317,738,,
2019-04-26,15600,15800,15450,15650,37466,585,,
2019-04-25,16300,16350,15650,15650,86563,1373,,
2019-04-24,16950,16950,16300,16350,92498,1534,,
2019-04-23,16750,16850,16300,16750,124053,2061,,
2019-04-22,15900,17450,15800,16600,437954,7289,,
2019-04-19,15150,16050,15150,15500,32278,501,,
2019-04-18,15500,15700,15050,15200,42830,657,,
2019-04-17,15800,15800,15550,15700,28432,445,,
2019-04-16,15800,15850,15200,15700,49538,768,,
2019-04-15,15850,16000,15450,15700,65340,1031,,
2019-04-12,15550,15750,15400,15600,32700,508,,
2019-04-11,15700,15750,15400,15600,27106,423,,
2019-04-10,15500,15700,15150,15600,30416,471,,
2019-04-09,15300,15700,15300,15500,30561,471,,
2019-04-08,15300,15650,15300,15550,29754,460,,
2019-04-05,15450,15550,15250,15500,30847,475,,
2019-04-04,15800,15800,15200,15450,62928,971,,
2019-04-03,14900,15200,14800,15100,51879,781,,
2019-04-02,14700,15150,14600,14950,50387,744,,
2019-04-01,14350,15050,14350,14800,29623,437,,
2019-03-29,14550,14950,14000,14650,82162,1185,,
2019-03-28,15500,15650,14700,14750,80787,1223,,
2019-03-27,15700,15800,15450,15500,38341,597,,
2019-03-26,15550,15900,15450,15650,44382,696,,
2019-03-25,15350,15900,15300,15550,43113,671,,
2019-03-22,15600,16050,15600,15650,44511,700,,
2019-03-21,15750,16050,15550,15650,54063,852,,
2019-03-20,16250,16350,15600,15900,104120,1649,,
2019-03-19,16450,16700,16150,16350,92336,1512,,
2019-03-18,15800,16500,15750,16500,118526,1913,,
2019-03-15,16000,16250,15650,15750,110590,1758,,
2019-03-14,16350,16750,15800,16050,220629,3565,,
2019-03-13,15200,16200,15000,16100,270296,4228,,
2019-03-12,15100,15600,15000,15100,110166,1684,,
2019-03-11,15150,15300,14650,15000,51965,773,,
2019-03-08,14850,15400,14600,15150,73729,1108,,
2019-03-07,15050,15150,14400,14800,45848,680,,
2019-03-06,14500,15250,14500,15100,107332,1611,,
2019-03-05,14600,14750,14400,14500,50802,739,,
2019-03-04,14400,14700,14350,14600,52050,757,,
2019-02-28,14750,14900,14300,14300,48668,711,,
2019-02-27,14500,14750,14400,14700,18217,266,,
2019-02-26,14700,14750,14500,14500,16353,239,,
2019-02-25,14750,14900,14200,14700,31087,454,,
2019-02-22,14800,15000,14750,14850,24455,362,,
2019-02-21,15150,15150,14850,14900,38671,579,,
2019-02-20,15150,15200,14900,15150,38785,583,,
2019-02-19,15250,15250,14900,15150,22463,338,,
2019-02-18,15250,15350,14900,15200,53795,817,,
2019-02-15,14550,15150,14450,15150,101712,1516,,
2019-02-14,14550,14600,14200,14500,46538,669,,
2019-02-13,14700,14800,14400,14450,53202,774,,
2019-02-12,15100,15150,14650,14650,42595,632,,
2019-02-11,14950,15300,14750,15050,68075,1026,,
2019-02-08,14550,14800,14500,14750,27266,399,,
2019-02-07,14750,14750,14500,14700,25382,370,,
2019-02-01,14850,14850,14450,14650,37247,542,,
2019-01-31,14700,15050,14600,14750,33593,496,,
2019-01-30,14650,14800,14550,14750,42467,624,,
2019-01-29,14550,14900,14300,14750,83309,1214,,
2019-01-28,14750,15000,14650,14800,46805,691,,
2019-01-25,15000,15000,14500,14750,36642,537,,
2019-01-24,14500,15050,14500,14850,64413,949,,
2019-01-23,14100,15050,13950,14650,162489,2374,,
2019-01-22,14400,14650,13950,14100,93531,1328,,
2019-01-21,13650,15000,13600,14450,330693,4748,,
2019-01-18,13100,13600,13000,13400,111631,1491,,
2019-01-17,13050,13150,12850,12950,56965,741,,
2019-01-16,13000,13100,12850,13000,34506,446,,
2019-01-15,13100,13150,12900,13000,39803,518,,
2019-01-14,12900,13100,12750,13000,44839,580,,
2019-01-11,12850,13400,12800,12900,92038,1201,,
2019-01-10,12850,12900,12650,12850,30845,393,,
2019-01-09,12800,13050,12700,12850,47279,606,,
2019-01-08,13050,13050,12650,12800,21217,271,,
2019-01-07,13050,13200,12700,12950,19914,257,,
2019-01-04,12850,12950,12600,12950,31443,401,,
2019-01-03,13050,13150,12550,12900,28167,360,,
2019-01-02,13300,13450,12650,13100,69444,901,,
2018-12-28,13350,13350,12950,13250,58397,768,,
2018-12-27,13000,13300,12850,13050,59856,781,4,0.00
2018-12-26,12350,12950,12300,12700,50062,630,,
2018-12-24,12550,12750,12300,12700,21214,267,,
2018-12-21,12300,12750,12100,12650,50093,622,,
2018-12-20,12200,12450,12000,12300,56749,691,,
2018-12-19,12250,12450,11950,12450,56602,688,,
2018-12-18,11850,12350,11700,12300,111673,1332,,
2018-12-17,12650,12650,12150,12300,56250,692,,
2018-12-14,12950,13000,12600,12800,40942,522,,
2018-12-13,12950,13100,12700,13050,33824,436,,
2018-12-12,12300,12900,12300,12900,47916,604,,
2018-12-11,12650,12800,12250,12300,36027,447,,
2018-12-10,12800,12850,12400,12500,60857,767,,
2018-12-07,13100,13350,12700,13000,46032,600,,
2018-12-06,13800,13850,12900,12950,106464,1408,,
2018-12-05,13750,14000,13700,13800,57529,794,,
2018-12-04,14200,14300,13950,14150,61458,869,,
2018-12-03,14300,14450,14100,14250,67136,959,,
2018-11-30,14500,14500,14100,14150,48595,694,,
2018-11-29,14850,14850,14350,14500,59496,868,,
2018-11-28,15000,15050,14550,14650,42194,622,,
2018-11-27,14750,14900,14500,14800,60184,886,,
2018-11-26,14550,14700,14450,14600,54852,798,,
2018-11-23,15050,15100,14400,14500,78578,1161,,
2018-11-22,14950,15250,14750,14900,66720,997,,
2018-11-21,14550,15050,14350,14900,90124,1324,,
2018-11-20,14850,15100,14650,14800,74862,1106,,
2018-11-19,14750,15450,14700,15150,104139,1564,,
2018-11-16,14700,14750,14300,14750,91719,1336,,
2018-11-15,15050,15200,14600,14600,114556,1693,,
2018-11-14,15200,15550,14800,15000,154450,2342,,
2018-11-13,14400,15550,14200,15300,236048,3549,,
2018-11-12,13550,15550,13550,14900,287935,4196,,
2018-11-09,14650,14800,14250,14350,74456,1076,,
2018-11-08,14800,15000,14600,14800,101409,1502,,
2018-11-07,14850,15500,14450,14450,221964,3333,,
2018-11-06,14650,14900,14200,14900,138209,2002,,
2018-11-05,14050,14600,13900,14350,217840,3087,,
2018-11-02,14250,14950,14250,14750,169566,2473,,
2018-11-01,14400,14800,14050,14100,156102,2260,,
2018-10-31,13800,14700,13400,14200,239681,3375,,
2018-10-30,12900,14050,12600,13800,300880,3989,,
2018-10-29,15350,15800,12750,13400,321095,4718,,
2018-10-26,16250,16600,15100,15350,306867,4831,,
2018-10-25,15800,16400,15450,16000,315198,5014,,
2018-10-24,17650,17700,16500,16650,196831,3361,,
2018-10-23,18700,18900,17300,17300,284969,5095,,
2018-10-22,18550,19150,18300,19000,136439,2563,,
2018-10-19,17850,19150,17850,18950,201237,3759,,
2018-10-18,18250,19000,18050,18200,153886,2840,,
2018-10-17,18850,19950,18400,18500,973558,18671,,
2018-10-16,17250,17950,17000,17800,230001,4040,,
2018-10-15,17100,18350,16750,16900,226355,3967,,
2018-10-12,16500,17450,16250,17200,209597,3548,,
2018-10-11,16750,17400,16500,16500,239817,4028,,
2018-10-10,18700,19000,17550,17550,204361,3708,,
2018-10-08,18600,19250,18150,18700,223616,4213,,
2018-10-05,19500,20100,18700,18800,312588,6028,,
2018-10-04,20250,20300,19000,19650,470610,9220,,
2018-10-02,22000,22450,20050,20250,699187,14931,,
2018-10-01,20950,24000,20950,22100,2819121,63614,,
2018-09-28,21350,21350,20250,20600,354165,7295,,
2018-09-27,21250,22350,20850,21350,1072591,23206,,
2018-09-21,21300,21400,20200,21000,869848,18121,,
2018-09-20,19950,23450,19650,20950,4982161,108096,,
2018-09-19,21750,22450,19000,19450,1980784,39810,,
2018-09-18,16450,21350,16200,21350,2477547,48201,,
2018-09-17,17050,17100,16100,16450,111466,1848,,
2018-09-14,17000,17100,16600,17000,109985,1853,,
2018-09-13,17100,17250,16750,16800,76345,1294,,
2018-09-12,16750,17400,16450,17000,141473,2391,,
2018-09-11,15950,16850,15900,16800,167130,2761,,
2018-09-10,16200,16350,15850,15850,97810,1567,,
2018-09-07,16400,16500,15850,16100,144987,2345,,
2018-09-06,17050,17200,16400,16400,148061,2479,,
2018-09-05,17550,17850,17000,17100,178712,3116,,
2018-09-04,17650,17700,17150,17450,90387,1568,,
2018-09-03,17450,17750,17000,17450,146329,2545,,
2018-08-31,17850,18100,17450,17500,213253,3784,,
2018-08-30,17100,17750,16750,17650,244119,4226,,
2018-08-29,17250,18400,17100,17200,641430,11388,,
2018-08-28,17550,17650,16700,17100,231243,3949,,
2018-08-27,16300,17850,16250,17500,646042,11082,,
2018-08-24,15850,16850,15600,16500,366631,5975,,
2018-08-23,16350,16500,15750,15800,140243,2239,,
2018-08-22,16100,16600,15800,16400,153948,2507,,
2018-08-21,15700,16100,15600,16100,110253,1746,,
2018-08-20,15800,16450,15650,15650,167729,2681,,
2018-08-17,15550,16200,15400,15700,208815,3301,,
2018-08-16,15350,15600,15050,15350,143654,2193,,
2018-08-14,16250,16350,15500,15600,272214,4321,,
2018-08-13,17250,17450,16100,16100,311231,5220,,
2018-08-10,17750,18100,16950,17050,299171,5194,,
2018-08-09,17550,18050,17150,17850,322815,5675,,
2018-08-08,16950,18400,16850,17700,784592,13890,,
2018-08-07,17250,17550,16750,16850,273575,4668,,
2018-08-06,17300,17550,16800,16850,243029,4164,,
2018-08-03,18000,18150,17100,17300,354197,6188,,
2018-08-02,18700,18700,17900,17900,354706,6460,,
2018-08-01,19350,19650,18650,18700,465013,8865,,
2018-07-31,18400,19500,18250,19500,780813,14787,,
2018-07-30,19350,19550,18550,18550,549001,10377,,
2018-07-27,19050,20200,18450,19250,927861,17732,,
2018-07-26,23000,25800,19350,19500,4912759,110981,,
